ticker,view_date,fiscal_period,filing_type,view_bps,confidence,sentiment,eps_surprise
AES,2016-11-05,Q3_2016,10-Q,-167,medium,negative,-23.529411764705884
AES,2017-05-09,Q1_2017,10-Q,-74,medium,negative,-117.3913043478261
AES,2014-02-27,FY2013,10-K,-65,medium,negative,-100.0
AES,2017-08-09,Q2_2017,10-Q,-205,medium,negative,-52.94117647058824
AES,2015-02-27,FY2014,10-K,-39,medium,negative,-6.451612903225811
AES,2018-05-09,Q1_2018,10-Q,-116,medium,negative,nan
AES,2017-11-03,Q3_2017,10-Q,-137,medium,negative,-32.35294117647059
AES,2018-08-08,Q2_2018,10-Q,-168,medium,negative,41.935483870967744
AES,2018-11-07,Q3_2018,10-Q,-189,medium,negative,-40.0
AES,2019-05-08,Q1_2019,10-Q,-79,medium,negative,-22.96355841371918
AES,2016-02-25,FY2015,10-K,1,medium,negative,-140.625
AES,2019-08-07,Q2_2019,10-Q,-184,medium,negative,-92.50796029218955
AES,2020-05-08,Q1_2020,10-Q,-48,medium,negative,-24.657534246575338
AES,2017-02-28,FY2016,10-K,-12,medium,negative,nan
AES,2019-11-07,Q3_2019,10-Q,-155,medium,negative,-20.84889559474634
AES,2019-02-28,FY2018,10-K,-52,medium,negative,-36.666666666666664
AES,2018-02-28,FY2017,10-K,-86,medium,negative,-100.0
AES,2020-11-07,Q3_2020,10-Q,-158,medium,negative,nan
AES,2020-08-07,Q2_2020,10-Q,-117,medium,negative,-152.17391304347825
AES,2021-05-07,Q1_2021,10-Q,-107,medium,negative,-172.98543608798062
AES,2021-08-05,Q2_2021,10-Q,-129,medium,negative,-86.14910488590326
AES,2020-02-29,FY2019,10-K,-33,medium,negative,-136.50079085046843
AES,2022-05-06,Q1_2022,10-Q,-67,medium,negative,-39.608968068241865
AES,2021-11-04,Q3_2021,10-Q,-113,medium,negative,9.090909090909086
AES,2021-02-26,FY2020,10-K,32,medium,negative,6.757524134014764
AES,2022-08-05,Q2_2022,10-Q,-129,medium,negative,-188.43470570895153
AES,2022-11-05,Q3_2022,10-Q,-139,medium,negative,8.894261826101392
AES,2023-05-05,Q1_2023,10-Q,-64,medium,negative,-6.17879640798821
AES,2022-03-01,FY2021,10-K,-46,medium,negative,nan
AES,2023-08-04,Q2_2023,10-Q,-146,medium,negative,-127.58620689655172
AES,2023-11-03,Q3_2023,10-Q,-85,medium,negative,-40.728666950675134
AES,2024-05-03,Q1_2024,10-Q,-126,medium,negative,75.7881167233095
AES,2023-03-02,FY2022,10-K,47,medium,negative,nan
AES,2024-08-02,Q2_2024,10-Q,-114,medium,negative,9.721307877989913
AES,2024-11-01,Q3_2024,10-Q,-143,medium,negative,19.31770439458869
AES,2025-05-02,Q1_2025,10-Q,-158,medium,negative,-79.74243958906092
AES,2024-02-27,FY2023,10-K,41,medium,negative,-122.42118951884126
AES,2025-08-02,Q2_2025,10-Q,-168,medium,negative,-137.71307889576104
AFL,2006-05-09,Q1_2006,10-Q,60,medium,negative,8.823529411764696
AES,2025-11-05,Q3_2025,10-Q,-141,medium,negative,16.200125339461035
AFL,2007-05-10,Q1_2007,10-Q,31,medium,negative,7.6923076923076845
AFL,2006-08-08,Q2_2006,10-Q,55,medium,negative,28.12499999999999
AFL,2007-08-09,Q2_2007,10-Q,70,medium,negative,2.4390243902439046
AFL,2007-11-09,Q3_2007,10-Q,-34,medium,negative,10.25641025641025
AFL,2006-11-09,Q3_2006,10-Q,78,medium,negative,2.7777777777777803
AES,2025-03-12,FY2024,10-K,0,medium,negative,128.3831054320488
AFL,2008-05-09,Q1_2008,10-Q,59,medium,negative,4.255319148936175
AFL,2008-08-12,Q2_2008,10-Q,0,medium,negative,2.040816326530614
AFL,2006-03-01,FY2005,10-K,-39,medium,negative,12.499999999999993
AFL,2008-11-08,Q3_2008,10-Q,20,medium,negative,-77.55102040816327
AFL,2009-05-09,Q1_2009,10-Q,51,medium,negative,10.909090909090898
AFL,2009-08-08,Q2_2009,10-Q,92,medium,negative,-37.03703703703704
AFL,2007-03-01,FY2006,10-K,25,medium,negative,3.030303030303033
AFL,2009-11-07,Q3_2009,10-Q,73,medium,negative,-31.578947368421044
AFL,2008-03-01,FY2007,10-K,40,medium,negative,-2.4390243902438913
AFL,2010-05-08,Q1_2010,10-Q,21,medium,negative,11.475409836065584
AFL,2009-02-21,FY2008,10-K,-24,medium,negative,-58.82352941176472
AFL,2010-08-03,Q2_2010,10-Q,129,medium,negative,-6.060606060606066
AFL,2010-02-27,FY2009,10-K,63,medium,negative,-52.63157894736842
AFL,2011-05-07,Q1_2011,10-Q,-138,medium,negative,-40.0
AFL,2010-11-06,Q3_2010,10-Q,-131,medium,negative,8.955223880597005
AFL,2011-08-06,Q2_2011,10-Q,-26,medium,negative,-61.8421052631579
AFL,2011-11-05,Q3_2011,10-Q,-31,medium,negative,2.5974025974025996
AFL,2011-02-26,FY2010,10-K,63,medium,negative,-33.33333333333333
AFL,2012-05-08,Q1_2012,10-Q,-124,medium,negative,3.703703703703693
AFL,2012-02-28,FY2011,10-K,15,medium,negative,-23.684210526315795
AFL,2012-08-04,Q2_2012,10-Q,-128,medium,negative,-34.177215189873415
AFL,2012-11-03,Q3_2012,10-Q,52,medium,negative,40.25974025974027
AFL,2013-05-07,Q1_2013,10-Q,137,medium,negative,23.376623376623368
AFL,2013-08-07,Q2_2013,10-Q,52,medium,negative,33.80281690140845
AFL,2013-11-06,Q3_2013,10-Q,157,medium,negative,1.3513513513513526
AFL,2014-05-03,Q1_2014,10-Q,-77,medium,negative,9.58904109589042
AFL,2014-08-06,Q2_2014,10-Q,-95,medium,negative,15.584415584415584
AFL,2014-11-04,Q3_2014,10-Q,-55,medium,negative,-42.22222222222222
AFL,2015-05-02,Q1_2015,10-Q,-75,medium,negative,-50.64935064935065
AFL,2013-02-28,FY2012,10-K,9,medium,negative,-16.216216216216218
AFL,2015-08-05,Q2_2015,10-Q,-69,medium,negative,-57.14285714285714
AFL,2015-11-04,Q3_2015,10-Q,-64,medium,negative,-52.85714285714285
AFL,2016-05-05,Q1_2016,10-Q,-121,medium,negative,16.0
AFL,2014-02-28,FY2013,10-K,-14,medium,negative,7.352941176470577
AFL,2015-02-27,FY2014,10-K,-4,medium,negative,-38.75968992248062
AFL,2016-08-06,Q2_2016,10-Q,-120,medium,negative,-19.512195121951212
AFL,2017-05-04,Q1_2017,10-Q,-2,medium,negative,-5.128205128205133
AFL,2016-11-05,Q3_2016,10-Q,-72,medium,negative,-7.2289156626505955
AFL,2017-11-03,Q3_2017,10-Q,-33,medium,negative,13.924050632911388
AFL,2017-08-04,Q2_2017,10-Q,-37,medium,negative,21.621621621621625
AFL,2018-05-05,Q1_2018,10-Q,-17,medium,negative,-1.0869565217391313
AFL,2018-11-02,Q3_2018,10-Q,106,medium,negative,14.73684210526317
AFL,2018-08-04,Q2_2018,10-Q,2,medium,negative,16.30434782608696
AFL,2016-02-26,FY2015,10-K,-1,medium,negative,-36.95652173913043
AFL,2019-04-27,Q1_2019,10-Q,1,medium,negative,16.14072857061924
AFL,2019-07-27,Q2_2019,10-Q,-30,medium,negative,1.557841383422785
AFL,2017-02-25,FY2016,10-K,6,medium,negative,4.494382022471914
AFL,2019-10-26,Q3_2019,10-Q,70,medium,negative,-2.6390436158361283
AFL,2019-02-26,FY2018,10-K,-14,medium,negative,-19.76744186046512
AFL,2020-05-01,Q1_2020,10-Q,130,medium,negative,-29.29979605710401
AFL,2020-07-30,Q2_2020,10-Q,54,medium,negative,6.317338269495478
AFL,2020-10-30,Q3_2020,10-Q,33,medium,negative,nan
AFL,2021-04-30,Q1_2021,10-Q,82,medium,negative,54.05274040877524
AFL,2020-02-22,FY2019,10-K,9,medium,negative,4.163595805941258
AFL,2018-02-24,FY2017,10-K,22,medium,negative,nan
AFL,2021-07-30,Q2_2021,10-Q,97,medium,negative,26.92443295334352
AFL,2021-10-29,Q3_2021,10-Q,130,medium,negative,0.15858442534013303
AFL,2021-02-24,FY2020,10-K,52,medium,negative,31.89333843066041
AFL,2022-04-30,Q1_2022,10-Q,51,medium,negative,15.50974156523011
AFL,2022-08-03,Q2_2022,10-Q,-12,medium,negative,68.99689389968158
AFL,2022-02-24,FY2021,10-K,-28,medium,negative,24.313110678258674
AFL,2022-11-03,Q3_2022,10-Q,24,medium,negative,133.54424089839995
AFL,2023-05-02,Q1_2023,10-Q,17,medium,negative,37.52511792957003
AFL,2023-08-03,Q2_2023,10-Q,31,medium,negative,88.31868246412564
AFL,2023-11-03,Q3_2023,10-Q,34,medium,negative,77.14910720876084
